journal	abbreviation	impact_factor
2D Materials	2D MATER	4.3
3 Biotech	3 BIOTECH	3.1
3D Printing and Additive Manufacturing	3D PRINT ADDIT MANUF	2.5
3D Printing in Medicine	3D PRINT MED	3.1
3L-Language Linguistics Literature-The Southeast Asian Journal of English Language Studies	3L-LANG LINGUIST LIT	0.8
4OR-A Quarterly Journal of Operations Research	4OR-Q J OPER RES	2
A & A Practice	A A PRACT	0.7
A&C-Revista de Direito Administrativo & Constitucional	A C-REV DIREITO ADM	0.4
AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK	AAA-ARB ANGLIST AM	0.1
AACE Clinical Case Reports	AACE CLIN CASE REP	0.9
AACN Advanced Critical Care	AACN ADV CRIT CARE	1.5
AAPG BULLETIN	AAPG BULL	2.7
AAPPS Bulletin	AAPPS B	4.2
AAPS Journal	AAPS J	3.4
AAPS PHARMSCITECH	AAPS PHARMSCITECH	5.1
AATCC Journal of Research	AATCC J RES	1.5
AATCC REVIEW	AATCC REV	1.2
Ab Imperio-Studies of New Imperial History and Nationalism in the Post-Soviet Space	AB IMP	0.4
Abacus-A Journal of Accounting Finance and Business Studies	ABACUS	1.7
Abanico Veterinario	ABANICO VET	0.4
ABCD-Arquivos Brasileiros de Cirurgia Digestiva-Brazilian Archives of Digestive Surgery	ABCD-ARQ BRAS CIR DI	1.8
Abdominal Radiology	ABDOM RADIOL	2.3
ABE Journal	ABE J	0.4
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG	ABH MATH SEM HAMBURG	0.2
aBIOTECH	ABIOTECH	8.5
Aboriginal History	ABORIG HIST	0.1
Abriu-Estudos de Textualidade do Brasil Galicia e Portugal	ABRIU-ESTUD TEXTUAL	0.1
Academia y Virtualidad	ACAD VIRTUALIDAD	0.2
Academia-Revista Latinoamericana de Administracion	ACAD-REV LATINOAM AD	1.8
ACADEMIC EMERGENCY MEDICINE	ACAD EMERG MED	3.2
Academic Journal of Modern Philology	ACAD J MOD PHILOL	0.1
ACADEMIC MEDICINE	ACAD MED	4.5
Academic Pathology	ACAD PATHOL	2
Academic Pediatrics	ACAD PEDIATR	2.8
ACADEMIC PSYCHIATRY	ACAD PSYCHIATR	2.6
ACADEMIC RADIOLOGY	ACAD RADIOL	4.7
Academy of Management Annals	ACAD MANAG ANN	18
Academy of Management Discoveries	ACAD MANAG DISCOV	5.1
